,prediction,customer_id,probability
0,1,4256-ZWTZI,0.5857329243867907
1,1,4514-GFCFI,0.7681102691264815
2,0,6252-DFGTK,0.16314625415729617
3,0,6253-GNHWH,0.041830966860581374
4,1,0376-OIWME,0.7681102691264815
5,0,0343-QLUZP,0.041830966860581374
6,0,0164-APGRB,0.1727212035117491
7,0,9313-QOLTZ,0.38641455440014694
8,0,8207-DMRVL,0.1727212035117491
9,1,8329-GWVPJ,0.7681102691264815
10,0,0603-TPMIB,0.041830966860581374
11,0,9803-FTJCG,0.16314625415729617
12,1,0921-OHLVP,0.7681102691264815
13,0,1093-YSWCA,0.041830966860581374
14,1,2856-HYAPG,0.5857329243867907
15,1,3439-GVUSX,0.5857329243867907
16,0,3717-FDJFU,0.041830966860581374
17,1,3345-PBBFH,0.5857329243867907
18,0,5451-YHYPW,0.1727212035117491
19,0,1064-FBXNK,0.16314625415729617
20,1,1084-UQCHV,0.7681102691264815
21,0,6754-LZUKA,0.041830966860581374
22,0,9581-GVBXT,0.16314625415729617
23,1,7586-ZATGZ,0.7681102691264815
24,0,4732-RRJZC,0.38641455440014694
25,1,8012-SOUDQ,0.7681102691264815
26,1,7742-MYPGI,0.5857329243867907
27,0,6746-WAUWT,0.16314625415729617
28,1,2979-SXESE,0.7681102691264815
29,1,9526-BIHHD,0.5857329243867907
30,1,0943-ZQPXH,0.7681102691264815
31,1,2209-XADXF,0.5857329243867907
32,0,9888-ZCUMM,0.041830966860581374
33,0,3913-FCUUW,0.041830966860581374
34,1,9747-DDZOS,0.7681102691264815
35,1,9117-SHLZX,0.5857329243867907
36,0,4576-CSAJH,0.16314625415729617
37,0,6440-DKQGE,0.16314625415729617
38,0,7398-HPYZQ,0.041830966860581374
39,1,8687-BAFGU,0.7681102691264815
40,1,1205-WNWPJ,0.5857329243867907
41,1,4282-ACRXS,0.5857329243867907
42,1,7766-CLTIC,0.5857329243867907
43,1,0689-DSXGL,0.7681102691264815
44,1,3132-TVFDZ,0.5857329243867907
45,1,2452-KDRRH,0.7681102691264815
46,0,0080-EMYVY,0.16314625415729617
47,1,3404-JNXAX,0.7681102691264815
48,1,8740-CRYFY,0.7681102691264815
49,0,5825-XJOCM,0.16314625415729617
50,0,5296-PSYVW,0.041830966860581374
51,1,8474-UMLNT,0.5857329243867907
52,0,4950-HKQTE,0.041830966860581374
53,0,5256-SKJGO,0.041830966860581374
54,1,8167-GJLRN,0.5857329243867907
55,0,1265-HVPZB,0.16314625415729617
56,0,8292-FRFZQ,0.16314625415729617
57,1,3644-QXEHN,0.7681102691264815
58,0,4609-KNNWG,0.041830966860581374
59,1,3090-LETTY,0.5857329243867907
60,1,2625-TRCZQ,0.5857329243867907
61,0,9548-ZMVTX,0.041830966860581374
62,0,2805-AUFQN,0.041830966860581374
63,0,7159-NOKYQ,0.041830966860581374
64,0,3572-UUHRS,0.16314625415729617
65,0,5003-OKNNK,0.16314625415729617
66,1,2810-FTLEM,0.5857329243867907
67,1,4826-TZEVA,0.7681102691264815
68,0,0848-SOMKO,0.041830966860581374
69,1,7321-PKUYW,0.7681102691264815
70,1,8019-ENHXU,0.7681102691264815
71,0,5275-PMFUT,0.041830966860581374
72,0,4685-ERGHK,0.16314625415729617
73,1,8387-MOJJT,0.7681102691264815
74,1,7005-CCBKV,0.7681102691264815
75,1,6917-YACBP,0.7681102691264815
76,0,7716-YTYHG,0.16314625415729617
77,0,3511-APPBJ,0.4475678985477857
78,1,2378-HTWFW,0.7681102691264815
79,0,9018-PCIOK,0.041830966860581374
80,0,5944-UGLLK,0.16314625415729617
81,1,4706-DGAHW,0.5857329243867907
82,1,5019-GQVCR,0.7681102691264815
83,0,7798-JVXYM,0.3079757383368291
84,0,1090-ESELR,0.1727212035117491
85,1,6624-JDRDS,0.5857329243867907
86,0,6815-ABQFQ,0.4475678985477857
87,0,3645-DEYGF,0.38641455440014694
88,1,6103-QCKFX,0.5857329243867907
89,0,6122-LJADA,0.041830966860581374
90,1,0895-DQHEW,0.7681102691264815
91,0,9135-MGVPY,0.041830966860581374
92,0,5887-IKKYO,0.1727212035117491
93,0,3705-RHRFR,0.1727212035117491
94,1,5103-MHMHY,0.5857329243867907
95,0,6574-MCOEH,0.16314625415729617
96,1,4763-PGDPO,0.7681102691264815
97,1,9992-UJOEL,0.5857329243867907
98,0,0839-JTCUD,0.041830966860581374
99,0,3978-YNKDD,0.041830966860581374
100,1,7831-QGOXH,0.7681102691264815
101,1,4950-BDEUX,0.5857329243867907
102,1,7252-NTGSS,0.5857329243867907
103,1,3877-JRJIP,0.5857329243867907
104,0,2710-WYVXG,0.041830966860581374
105,0,8788-DOXSU,0.16314625415729617
106,1,7989-AWGEH,0.5857329243867907
107,0,4404-HIBDJ,0.16314625415729617
108,0,7010-ZMVBF,0.38641455440014694
109,1,9279-CJEOJ,0.7681102691264815
110,0,0907-HQNTS,0.1727212035117491
111,0,1080-BWSYE,0.041830966860581374
112,0,1215-EXRMO,0.041830966860581374
113,0,5135-GRQJV,0.1727212035117491
114,0,9412-ARGBX,0.1727212035117491
115,0,7524-VRLPL,0.041830966860581374
116,1,2903-YYTBW,0.5857329243867907
117,1,6713-OKOMC,0.5857329243867907
118,0,3284-SVCRO,0.041830966860581374
119,1,2257-BOVXD,0.5857329243867907
120,1,9530-EHPOH,0.5857329243867907
121,1,6652-YFFJO,0.5857329243867907
122,0,5968-HYJRZ,0.041830966860581374
123,1,9661-ACXBS,0.7681102691264815
124,0,5642-MHDQT,0.16314625415729617
125,0,9838-BFCQT,0.041830966860581374
126,1,5393-RXQSZ,0.7681102691264815
127,1,0354-WYROK,0.7681102691264815
128,1,2454-RPBRZ,0.7681102691264815
129,0,1154-HYWWO,0.16314625415729617
130,1,5692-ICXLW,0.7681102691264815
131,1,3663-MITLP,0.7681102691264815
132,1,6067-NGCEU,0.7681102691264815
133,0,3069-SSVSN,0.16314625415729617
134,0,1045-LTCYT,0.38641455440014694
135,0,7184-LRUUR,0.16314625415729617
136,0,4302-ZYFEL,0.16314625415729617
137,1,5628-RKIFK,0.7681102691264815
138,1,7658-UYUQS,0.7681102691264815
139,0,6365-HITVU,0.041830966860581374
140,0,5318-YKDPV,0.041830966860581374
141,1,9696-RMYBA,0.7681102691264815
142,1,4320-QMLLA,0.5857329243867907
143,0,1623-NLDOT,0.16314625415729617
144,0,5186-PEIZU,0.38641455440014694
145,0,6838-YAUVY,0.1727212035117491
146,1,1508-DFXCU,0.7681102691264815
147,1,8149-AIQCG,0.7681102691264815
148,0,7606-BPHHN,0.041830966860581374
149,0,7633-MVPUY,0.041830966860581374
150,0,3549-ZTMNH,0.041830966860581374
151,1,2672-TGEFF,0.7681102691264815
152,0,1431-CYWMH,0.38641455440014694
153,1,2277-VWCNI,0.5857329243867907
154,0,9391-TTOYH,0.38641455440014694
155,1,7028-DVOIQ,0.7681102691264815
156,0,3061-BCKYI,0.38641455440014694
